rank,ingredient,product_count,therapeutic_class,relation_card,kpi_bucket,reason
163,아토르바스타틴칼슘삼수화물/에제티미브,25,고지혈증,no,safe_name_only,"근거 약함/일반 계열(고지혈증) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
164,미라베그론,25,비뇨/전립선,no,safe_name_only,"근거 약함/일반 계열(비뇨/전립선) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
165,프라미펙솔염산염일수화물,25,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
166,이부프로펜/파마브롬,24,해열진통/소염,no,safe_name_only,"근거 약함/일반 계열(해열진통/소염) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
167,란소프라졸과립,24,소화/위장,yes,covered,"relation_card 보유(base=란소프라졸, relation_card 품목 24건) — source_confirmed 근거 존재"
168,반코마이신염산염,24,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
169,도네페질염산염수화물/메만틴염산염,23,신경/뇌,no,safe_name_only,"근거 약함/일반 계열(신경/뇌) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
170,텔미사르탄/클로르탈리돈/암로디핀베실산염,23,고혈압/심혈관,yes,covered,"relation_card 보유(base=클로르탈리돈, relation_card 품목 0건) — source_confirmed 근거 존재"
171,시메티딘,23,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
172,멜라토닌,23,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
173,텔미사르탄/로수바스타틴칼슘,22,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
174,파록세틴염산염수화물,22,정신건강(민감),no,blocked_sensitive,민감/고위험군(정신건강(민감)) — 임상판단·출혈/상호작용 위험으로 clinical reviewer 트랙 전까지 hold
175,아리피프라졸(미분화),22,정신건강(민감),no,blocked_sensitive,민감/고위험군(정신건강(민감)) — 임상판단·출혈/상호작용 위험으로 clinical reviewer 트랙 전까지 hold
176,실로스타졸/은행엽건조엑스,21,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
177,설트랄린염산염,21,정신건강(민감),no,blocked_sensitive,민감/고위험군(정신건강(민감)) — 임상판단·출혈/상호작용 위험으로 clinical reviewer 트랙 전까지 hold
178,비사코딜/도큐세이트나트륨,21,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
179,클로베타솔프로피오네이트,21,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
180,아모롤핀염산염,21,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
181,리도카인/프릴로카인,21,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
182,아목시실린수화물/설박탐피복실,20,항생/항균,no,relation_eligible_uncovered,"근거 개연 계열(항생/항균, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
183,로라타딘,20,호흡기/알레르기,no,safe_name_only,"근거 약함/일반 계열(호흡기/알레르기) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
184,라모트리진,20,신경/뇌,no,safe_name_only,"근거 약함/일반 계열(신경/뇌) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
185,레르카니디핀염산염,20,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
186,리세드론산나트륨,20,골다공증,yes,covered,"relation_card 보유(base=리세드론산, relation_card 품목 20건) — source_confirmed 근거 존재"
187,바레니클린살리실산염,20,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
188,시클로피록스,20,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
189,플루오로메톨론/테트라히드로졸린염산염,20,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
190,결정트립신/브로멜라인,20,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
191,이매티닙메실산염,20,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
192,몬테루카스트나트륨/레보세티리진염산염,19,호흡기/알레르기,no,safe_name_only,"근거 약함/일반 계열(호흡기/알레르기) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
193,펠로디핀,19,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
194,레플루노미드,19,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
195,레미펜타닐염산염,19,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
196,클린다마이신포스페이트,18,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
197,이르베사르탄,18,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
198,클로트리마졸,18,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
199,히드로코르티손,18,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
200,프란루카스트수화물,18,호흡기/알레르기,no,safe_name_only,"근거 약함/일반 계열(호흡기/알레르기) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
201,라코사미드,18,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
202,리세드론산나트륨일수화물,18,골다공증,yes,covered,"relation_card 보유(base=리세드론산, relation_card 품목 18건) — source_confirmed 근거 존재"
203,알리트레티노인,18,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
204,아토목세틴염산염,18,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
205,레보티록신,17,갑상선/내분비,yes,covered,"relation_card 보유(base=레보티록신, relation_card 품목 17건) — source_confirmed 근거 존재"
206,페노피브레이트,17,고지혈증,no,safe_name_only,"근거 약함/일반 계열(고지혈증) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
207,에탄올(95),17,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
208,브롬페낙나트륨수화물,17,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
209,세프프로질 수화물,17,항생/항균,no,relation_eligible_uncovered,"근거 개연 계열(항생/항균, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
210,소마트로핀,17,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
211,올메사르탄메독소밀/로수바스타틴칼슘,17,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
212,시타글립틴인산염수화물/피오글리타존염산염,16,당뇨,no,relation_eligible_uncovered,"근거 개연 계열(당뇨, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
213,잘토프로펜,16,해열진통/소염,no,safe_name_only,"근거 약함/일반 계열(해열진통/소염) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
214,바클로펜,16,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
215,알푸조신염산염,16,비뇨/전립선,no,safe_name_only,"근거 약함/일반 계열(비뇨/전립선) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
216,나프토피딜,16,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
217,바제독시펜아세테이트/콜레칼시페롤농축분말,16,골다공증,no,relation_eligible_uncovered,"근거 개연 계열(골다공증, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
218,세틸피리디늄염화물수화물,16,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
219,판크레아틴/셀룰라제/우담즙 건조엑스/디메티콘,16,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
220,티카그렐러,16,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
221,이부프로펜피코놀/이소프로필메틸페놀,16,해열진통/소염,no,safe_name_only,"근거 약함/일반 계열(해열진통/소염) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
222,아토르바스타틴칼슘/에제티미브,16,고지혈증,no,safe_name_only,"근거 약함/일반 계열(고지혈증) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
223,펠라고니움시도이데스11%에탄올건조엑스(5.5~6.6→1),16,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
224,에베로리무스,16,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
225,도르졸라미드염산염/티몰롤말레산염,16,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
226,로수바스타틴칼슘(미분화),15,고지혈증,no,safe_name_only,"근거 약함/일반 계열(고지혈증) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
227,라베프라졸나트륨/탄산수소나트륨,15,소화/위장,yes,covered,"relation_card 보유(base=라베프라졸, relation_card 품목 15건) — source_confirmed 근거 존재"
228,졸피뎀타르타르산염,15,정신건강(민감),no,blocked_sensitive,민감/고위험군(정신건강(민감)) — 임상판단·출혈/상호작용 위험으로 clinical reviewer 트랙 전까지 hold
229,세프라딘수화물,15,항생/항균,no,relation_eligible_uncovered,"근거 개연 계열(항생/항균, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
230,메게스트롤아세테이트,15,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
231,세프프로질수화물,15,항생/항균,no,relation_eligible_uncovered,"근거 개연 계열(항생/항균, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
232,펜타닐,15,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
233,아지트로마이신수화물,14,항생/항균,no,relation_eligible_uncovered,"근거 개연 계열(항생/항균, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
234,이트라코나졸펠렛,14,항진균,no,safe_name_only,"근거 약함/일반 계열(항진균) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
235,시타글립틴염산염수화물/다파글리플로진시트르산(미분화),14,당뇨,no,relation_eligible_uncovered,"근거 개연 계열(당뇨, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
236,아세트아미노펜/클로르페니라민말레산염/슈도에페드린염산염,14,해열진통/소염,no,safe_name_only,"근거 약함/일반 계열(해열진통/소염) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
237,암로디핀베실산염/발사르탄,14,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
238,에제티미브/로수바스타틴칼슘,14,고지혈증,no,safe_name_only,"근거 약함/일반 계열(고지혈증) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
239,슈도에페드린염산염/에바스틴,14,호흡기/알레르기,no,safe_name_only,"근거 약함/일반 계열(호흡기/알레르기) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
240,아테놀롤,14,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
241,플루오르화나트륨,14,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
242,보티옥세틴브롬화수소산염,14,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
243,이소트레티노인,14,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
244,리도카인염산염수화물,14,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
245,라타노프로스트,14,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
246,폴리카르보필칼슘,14,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
247,메틸페니데이트염산염,14,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
248,트라넥삼산,14,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
249,디클로페낙디에틸암모늄,13,해열진통/소염,no,safe_name_only,"근거 약함/일반 계열(해열진통/소염) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
250,클로피도그렐황산염/아스피린장용펠렛,13,항혈전(민감),no,blocked_sensitive,민감/고위험군(항혈전(민감)) — 임상판단·출혈/상호작용 위험으로 clinical reviewer 트랙 전까지 hold
251,암피실린나트륨/설박탐나트륨,13,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
252,에날라프릴말레산염,13,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
253,빌다글립틴,13,당뇨,no,relation_eligible_uncovered,"근거 개연 계열(당뇨, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
254,시메티콘,13,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
255,히드로퀴논,13,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
256,무피로신,13,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
257,D-판테놀,13,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
258,피마사르탄칼륨삼수화물,13,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
259,나파모스타트메실산염,13,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
260,프로포폴,13,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
261,아스코르브산/리소짐염산염/토코페롤아세테이트 2배산/카르바조크롬,13,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
262,덱스메데토미딘염산염,13,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
263,로수바스타틴칼슘/발사르탄,13,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
264,데노수맙,13,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
265,디클로페낙β-디메틸아미노에탄올,12,해열진통/소염,no,safe_name_only,"근거 약함/일반 계열(해열진통/소염) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
266,이트라코나졸,12,항진균,no,safe_name_only,"근거 약함/일반 계열(항진균) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
267,비소프롤롤푸마르산염,12,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
268,칸데사르탄실렉세틸/S-암로디핀베실산염2.5수화물,12,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
269,텔미사르탄/로수바스타틴칼슘/에제티미브(미분화)/암로디핀베실산염,12,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
270,텔미사르탄/로수바스타틴칼슘/에제티미브,12,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
271,탄산수소나트륨/라베프라졸나트륨,12,소화/위장,yes,covered,"relation_card 보유(base=라베프라졸, relation_card 품목 12건) — source_confirmed 근거 존재"
272,도네페질염산염,12,신경/뇌,no,safe_name_only,"근거 약함/일반 계열(신경/뇌) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
273,나부메톤,12,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
274,트리암시놀론아세토니드,12,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
275,테노포비르디소프록실,12,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
276,S-암로디핀베실산염2.5수화물/발사르탄/인다파미드,12,고혈압/심혈관,yes,covered,"relation_card 보유(base=인다파미드, relation_card 품목 0건) — source_confirmed 근거 존재"
277,암로디핀베실산염/발사르탄/클로르탈리돈,12,고혈압/심혈관,yes,covered,"relation_card 보유(base=클로르탈리돈, relation_card 품목 0건) — source_confirmed 근거 존재"
278,자일로메타졸린염산염,12,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
279,벤지다민염산염,12,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
280,레보도파/카르비도파수화물/엔타카폰,12,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
281,페람파넬(미분화),12,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
282,실데나필,12,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
283,엘로티닙염산염,12,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
284,로수바스타틴칼슘/암로디핀베실산염,12,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
285,팔보시클립,12,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
286,갈란타민브롬화수소산염,12,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
287,에독사반베실산염수화물,12,항혈전(민감),no,blocked_sensitive,민감/고위험군(항혈전(민감)) — 임상판단·출혈/상호작용 위험으로 clinical reviewer 트랙 전까지 hold
288,독시사이클린,11,항생/항균,yes,covered,"relation_card 보유(base=독시사이클린, relation_card 품목 11건) — source_confirmed 근거 존재"
289,덱시부프로펜 디.씨.,11,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
290,발라시클로비르염산염,11,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
291,란소프라졸/침강탄산칼슘,11,소화/위장,yes,covered,"relation_card 보유(base=란소프라졸, relation_card 품목 11건) — source_confirmed 근거 존재"
292,돔페리돈말레산염,11,소화/위장,no,relation_eligible_uncovered,"근거 개연 계열(소화/위장, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
293,파모티딘/수산화마그네슘/침강탄산칼슘,11,소화/위장,no,relation_eligible_uncovered,"근거 개연 계열(소화/위장, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
294,아세트아미노펜/클로르페니라민말레산염/dl-메틸에페드린염산염/슈도에페드린염산염/덱스트로메토르판브롬화수소산염수화물/구아이페네신,11,해열진통/소염,no,safe_name_only,"근거 약함/일반 계열(해열진통/소염) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
295,텔미사르탄/암로디핀베실산염/로수바스타틴칼슘,11,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
296,칸데사르탄실렉세틸/암로디핀베실산염,11,고혈압/심혈관,no,relation_eligible_uncovered,"근거 개연 계열(고혈압/심혈관, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
297,모사프리드시트르산염이수화물,11,소화/위장,no,relation_eligible_uncovered,"근거 개연 계열(소화/위장, 흡수/고갈 메커니즘 후보)인데 미커버 — source-check 우선 대상(확정 아님)"
298,베포타스틴살리실산염,11,기타,no,safe_name_only,"근거 약함/일반 계열(기타) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
299,메퀴타진/벨라돈나총알칼로이드/글리시리진산이칼륨/슈도에페드린염산염/카페인무수물,11,호흡기/알레르기,no,safe_name_only,"근거 약함/일반 계열(호흡기/알레르기) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
300,슈도에페드린염산염/트리프롤리딘염산염수화물,11,호흡기/알레르기,no,safe_name_only,"근거 약함/일반 계열(호흡기/알레르기) — name_only/정보없음 안전응답, 검색은 정상 응답(실패 아님)"
